#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
9780340952658,"","Stephen King",01-01-2007,"Hodder","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,706,"London","","813.54","12F57D4E-E57A-443F-B129-02D835AA238E","Desperation"
9780798119900,"","N. P. van Wyk Louw; Nicolaas Petrus Van Wyk Louw",01-01-1987,"Human & Rousseau","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,82,"Kaapstad","","839.3624","70F78D01-0266-4CC4-B99A-3E578A430AE7","Die Pluimsaad Waai Ver, Of, Bitter Begin"
9780730964865,"","Carolyn Thomson-Dans; Andre Billstein",01-01-1995,"Department of Conservation and Land Management","Deep diving",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,176,"Como, W.A.","GV840.S78","797.2/3/09941","F7E1EEE3-DC32-4EBC-9150-261BCB067E6C","Dive and Snorkel Sites in Western Australia"
9780330446501,"","Tony Ballantyne",01-01-2007,"Tor","Artificial intelligence",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,327,"London","PR6102.A348","823.92","2124286B-8C76-4A61-833F-C90752755A34","Divergence"
9780575079939,"","Philip K. Dick",01-01-2007,"Gollancz","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,214,"London","PS3554.I3","813.54","EE931D95-A2D1-46C2-AAA0-6FD67007B223","Do Androids Dream of Electric Sheep?"
9780765309532,"","Cory Doctorow",01-01-2003,"Tom Doherty Associates","Fiction / Science Fiction / Cyberpunk",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,208,"","","","A1487885-38C6-43ED-B8CB-52D569B67309","Down and out in the Magic Kingdom"
9780553283372,"","Dennis L. McKiernan",01-01-1990,"Bantam Books","Fiction / Fantasy / General",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,485,"New York","PS3563.A2358","813.5/4","C98BE4D9-9FDD-4762-A491-ED81C4E8F37B","Dragondoom"
9780099606208,"","William Horwood",01-01-1989,"Arrow","",0.000000,,"book",1,"","","Duncton Chronicles",2.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,916,"London","PR6058.O679","823.914","5112F77C-5647-45A1-99AE-612936BBE9DA","Duncton Quest"
9780961392116,"","Edward R. Tufte",01-01-1995,"Graphics Press","Information display systems",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,126,"Cheshire, Conn.","P93.5","302.23","FDBA7C9D-A703-483B-BF4C-526058C3A31F","Envisioning Information"
9780552131056,"","Terry Pratchett",01-01-1987,"Random House","Fiction / Fantasy / General",0.000000,,"book",1,"","","A Discworld Novel ;",3.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,282,"London","PR6066.R34","823/.914","6BAFE944-4B23-486E-93AC-CFE761E27E10","Equal Rites"
